Drone,SerialNumber,DataType,ReferenceSNRLevel,CenterFrequency,SampleRate,IFBandwidth,ScaleFactor,center_frequency_hz,center_frequency_mhz,sample_rate_hz,if_bandwidth_hz,reference_snr_db,scale_factor_numeric,source_xml_path,raw_iq_path
DEVENTION DEVO,00002,Complex Float,15,2440000000.000,100000000,100000000,60,2440000000.0,2440.0,100000000.0,100000000.0,15.0,60.0,/scratch/rameyjm7/datasets/RFUAV/archives/DEVENTION DEVO.rar!DEVENTION DEVO/pack1.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DEVENTION DEVO.rar!DEVENTION DEVO/pack1_4-5s.iq
DEVENTION DEVO,00002,Complex Float,15,2440000000.000,100000000,100000000,60,2440000000.0,2440.0,100000000.0,100000000.0,15.0,60.0,/scratch/rameyjm7/datasets/RFUAV/archives/DEVENTION DEVO.rar!DEVENTION DEVO/pack1.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DEVENTION DEVO.rar!DEVENTION DEVO/pack1_5-6s.iq
DJI AVATA2,00003,Complex Float,9,5760000000.000,100000000,100000000,90,5760000000.0,5760.0,100000000.0,100000000.0,9.0,90.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=10/pack1.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=10/pack1_0-1s.iq
DJI AVATA2,00003,Complex Float,9,5760000000.000,100000000,100000000,90,5760000000.0,5760.0,100000000.0,100000000.0,9.0,90.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=10/pack1.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=10/pack1_1-2s.iq
DJI AVATA2,00003,Complex Float,9,5760000000.000,100000000,100000000,90,5760000000.0,5760.0,100000000.0,100000000.0,9.0,90.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=10/pack1.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=10/pack1_10-11s.iq
DJI AVATA2,00003,Complex Float,9,5760000000.000,100000000,100000000,90,5760000000.0,5760.0,100000000.0,100000000.0,9.0,90.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=10/pack1.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=10/pack1_2-3s.iq
DJI AVATA2,00003,Complex Float,9,5760000000.000,100000000,100000000,90,5760000000.0,5760.0,100000000.0,100000000.0,9.0,90.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=10/pack1.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=10/pack1_3-4s.iq
DJI AVATA2,00003,Complex Float,9,5760000000.000,100000000,100000000,90,5760000000.0,5760.0,100000000.0,100000000.0,9.0,90.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=10/pack1.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=10/pack1_5-6s.iq
DJI AVATA2,00003,Complex Float,9,5760000000.000,100000000,100000000,90,5760000000.0,5760.0,100000000.0,100000000.0,9.0,90.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=10/pack1.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=10/pack1_6-7s.iq
DJI AVATA2,00003,Complex Float,9,5760000000.000,100000000,100000000,90,5760000000.0,5760.0,100000000.0,100000000.0,9.0,90.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=10/pack1.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=10/pack1_7-8s.iq
DJI AVATA2,00003,Complex Float,9,5760000000.000,100000000,100000000,90,5760000000.0,5760.0,100000000.0,100000000.0,9.0,90.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=10/pack1.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=10/pack1_8-9s.iq
DJI AVATA2,00003,Complex Float,9,5760000000.000,100000000,100000000,90,5760000000.0,5760.0,100000000.0,100000000.0,9.0,90.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=10/pack1.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=10/pack1_9-10s.iq
DJI AVATA2,00004,Complex Float,2,5765000000.000,100000000,100000000,85,5765000000.0,5765.0,100000000.0,100000000.0,2.0,85.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=20/pack2.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=20/pack2_0-1s.iq
DJI AVATA2,00004,Complex Float,2,5765000000.000,100000000,100000000,85,5765000000.0,5765.0,100000000.0,100000000.0,2.0,85.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=20/pack2.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=20/pack2_1-2s.iq
DJI AVATA2,00004,Complex Float,2,5765000000.000,100000000,100000000,85,5765000000.0,5765.0,100000000.0,100000000.0,2.0,85.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=20/pack2.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=20/pack2_2-3s.iq
DJI AVATA2,00004,Complex Float,2,5765000000.000,100000000,100000000,85,5765000000.0,5765.0,100000000.0,100000000.0,2.0,85.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=20/pack2.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=20/pack2_3-4s.iq
DJI AVATA2,00004,Complex Float,2,5765000000.000,100000000,100000000,85,5765000000.0,5765.0,100000000.0,100000000.0,2.0,85.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=20/pack2.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=20/pack2_4-5s.iq
DJI AVATA2,00004,Complex Float,2,5765000000.000,100000000,100000000,85,5765000000.0,5765.0,100000000.0,100000000.0,2.0,85.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=20/pack2.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=20/pack2_5-6s.iq
DJI AVATA2,00004,Complex Float,2,5765000000.000,100000000,100000000,85,5765000000.0,5765.0,100000000.0,100000000.0,2.0,85.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=20/pack2.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=20/pack2_6-7s.iq
DJI AVATA2,00004,Complex Float,2,5765000000.000,100000000,100000000,85,5765000000.0,5765.0,100000000.0,100000000.0,2.0,85.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=20/pack2.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=20/pack2_7-8s.iq
DJI AVATA2,00004,Complex Float,2,5765000000.000,100000000,100000000,85,5765000000.0,5765.0,100000000.0,100000000.0,2.0,85.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=20/pack2.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=20/pack2_8-9s.iq
DJI AVATA2,00005,Complex Float,23,5760000000.000,100000000,100000000,85,5760000000.0,5760.0,100000000.0,100000000.0,23.0,85.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=40/pack4.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=40/pack4_0-1s.iq
DJI AVATA2,00005,Complex Float,23,5760000000.000,100000000,100000000,85,5760000000.0,5760.0,100000000.0,100000000.0,23.0,85.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=40/pack4.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=40/pack4_1-2s.iq
DJI AVATA2,00005,Complex Float,23,5760000000.000,100000000,100000000,85,5760000000.0,5760.0,100000000.0,100000000.0,23.0,85.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=40/pack4.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=40/pack4_10-11s.iq
DJI AVATA2,00005,Complex Float,23,5760000000.000,100000000,100000000,85,5760000000.0,5760.0,100000000.0,100000000.0,23.0,85.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=40/pack4.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=40/pack4_11-12s.iq
DJI AVATA2,00005,Complex Float,23,5760000000.000,100000000,100000000,85,5760000000.0,5760.0,100000000.0,100000000.0,23.0,85.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=40/pack4.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=40/pack4_12-13s.iq
DJI AVATA2,00005,Complex Float,23,5760000000.000,100000000,100000000,85,5760000000.0,5760.0,100000000.0,100000000.0,23.0,85.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=40/pack4.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=40/pack4_2-3s.iq
DJI AVATA2,00005,Complex Float,23,5760000000.000,100000000,100000000,85,5760000000.0,5760.0,100000000.0,100000000.0,23.0,85.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=40/pack4.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=40/pack4_3-4s.iq
DJI AVATA2,00005,Complex Float,23,5760000000.000,100000000,100000000,85,5760000000.0,5760.0,100000000.0,100000000.0,23.0,85.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=40/pack4.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=40/pack4_4-5s.iq
DJI AVATA2,00005,Complex Float,23,5760000000.000,100000000,100000000,85,5760000000.0,5760.0,100000000.0,100000000.0,23.0,85.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=40/pack4.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=40/pack4_5-6s.iq
DJI AVATA2,00005,Complex Float,23,5760000000.000,100000000,100000000,85,5760000000.0,5760.0,100000000.0,100000000.0,23.0,85.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=40/pack4.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=40/pack4_6-7s.iq
DJI AVATA2,00005,Complex Float,23,5760000000.000,100000000,100000000,85,5760000000.0,5760.0,100000000.0,100000000.0,23.0,85.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=40/pack4.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=40/pack4_7-8s.iq
DJI AVATA2,00005,Complex Float,23,5760000000.000,100000000,100000000,85,5760000000.0,5760.0,100000000.0,100000000.0,23.0,85.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=40/pack4.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=40/pack4_8-9s.iq
DJI AVATA2,00005,Complex Float,23,5760000000.000,100000000,100000000,85,5760000000.0,5760.0,100000000.0,100000000.0,23.0,85.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=40/pack4.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=40/pack4_9-10s.iq
DJI AVATA2,00006,Complex Float,1,5760000000.000,100000000,100000000,85,5760000000.0,5760.0,100000000.0,100000000.0,1.0,85.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=60/pack3.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=60/pack3_0-1s.iq
DJI AVATA2,00006,Complex Float,1,5760000000.000,100000000,100000000,85,5760000000.0,5760.0,100000000.0,100000000.0,1.0,85.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=60/pack3.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=60/pack3_1-2s.iq
DJI AVATA2,00006,Complex Float,1,5760000000.000,100000000,100000000,85,5760000000.0,5760.0,100000000.0,100000000.0,1.0,85.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=60/pack3.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=60/pack3_10-11s.iq
DJI AVATA2,00006,Complex Float,1,5760000000.000,100000000,100000000,85,5760000000.0,5760.0,100000000.0,100000000.0,1.0,85.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=60/pack3.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=60/pack3_11-12s.iq
DJI AVATA2,00006,Complex Float,1,5760000000.000,100000000,100000000,85,5760000000.0,5760.0,100000000.0,100000000.0,1.0,85.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=60/pack3.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=60/pack3_2-3s.iq
DJI AVATA2,00006,Complex Float,1,5760000000.000,100000000,100000000,85,5760000000.0,5760.0,100000000.0,100000000.0,1.0,85.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=60/pack3.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=60/pack3_3-4s.iq
DJI AVATA2,00006,Complex Float,1,5760000000.000,100000000,100000000,85,5760000000.0,5760.0,100000000.0,100000000.0,1.0,85.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=60/pack3.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=60/pack3_4-5s.iq
DJI AVATA2,00006,Complex Float,1,5760000000.000,100000000,100000000,85,5760000000.0,5760.0,100000000.0,100000000.0,1.0,85.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=60/pack3.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=60/pack3_5-6s.iq
DJI AVATA2,00006,Complex Float,1,5760000000.000,100000000,100000000,85,5760000000.0,5760.0,100000000.0,100000000.0,1.0,85.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=60/pack3.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=60/pack3_6-7s.iq
DJI AVATA2,00006,Complex Float,1,5760000000.000,100000000,100000000,85,5760000000.0,5760.0,100000000.0,100000000.0,1.0,85.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=60/pack3.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=60/pack3_7-8s.iq
DJI AVATA2,00006,Complex Float,1,5760000000.000,100000000,100000000,85,5760000000.0,5760.0,100000000.0,100000000.0,1.0,85.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=60/pack3.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=60/pack3_8-9s.iq
DJI AVATA2,00006,Complex Float,1,5760000000.000,100000000,100000000,85,5760000000.0,5760.0,100000000.0,100000000.0,1.0,85.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=60/pack3.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI AVATA2.rar!DJI AVATA2/VTSBW=60/pack3_9-10s.iq
DJI FPV COMBO,00007,Complex Float,32,5760000000.000,100000000,100000000,90,5760000000.0,5760.0,100000000.0,100000000.0,32.0,90.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI FPV COMBO.rar!DJI FPV COMBO/VTSBW=10/pack1.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI FPV COMBO.rar!DJI FPV COMBO/VTSBW=10/pack1_0-1s.iq
DJI FPV COMBO,00007,Complex Float,32,5760000000.000,100000000,100000000,90,5760000000.0,5760.0,100000000.0,100000000.0,32.0,90.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI FPV COMBO.rar!DJI FPV COMBO/VTSBW=10/pack1.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI FPV COMBO.rar!DJI FPV COMBO/VTSBW=10/pack1_1-2s.iq
DJI FPV COMBO,00007,Complex Float,32,5760000000.000,100000000,100000000,90,5760000000.0,5760.0,100000000.0,100000000.0,32.0,90.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI FPV COMBO.rar!DJI FPV COMBO/VTSBW=10/pack1.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI FPV COMBO.rar!DJI FPV COMBO/VTSBW=10/pack1_10-11s.iq
DJI FPV COMBO,00007,Complex Float,32,5760000000.000,100000000,100000000,90,5760000000.0,5760.0,100000000.0,100000000.0,32.0,90.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI FPV COMBO.rar!DJI FPV COMBO/VTSBW=10/pack1.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI FPV COMBO.rar!DJI FPV COMBO/VTSBW=10/pack1_11-12s.iq
DJI FPV COMBO,00007,Complex Float,32,5760000000.000,100000000,100000000,90,5760000000.0,5760.0,100000000.0,100000000.0,32.0,90.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI FPV COMBO.rar!DJI FPV COMBO/VTSBW=10/pack1.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI FPV COMBO.rar!DJI FPV COMBO/VTSBW=10/pack1_12-13s.iq
DJI FPV COMBO,00007,Complex Float,32,5760000000.000,100000000,100000000,90,5760000000.0,5760.0,100000000.0,100000000.0,32.0,90.0,/scratch/rameyjm7/datasets/RFUAV/archives/DJI FPV COMBO.rar!DJI FPV COMBO/VTSBW=10/pack1.xml,/scratch/rameyjm7/datasets/RFUAV/archives/DJI FPV COMBO.rar!DJI FPV COMBO/VTSBW=10/pack1_2-3s.iq
